order_id,date,product,category,city,quantity,unit_price,revenue,customer_age,gender
1001,2024-01-05,Laptop Pro,Electronics,Karachi,1,85000,85000,28,Male
1002,2024-01-07,Wireless Earbuds,Electronics,Lahore,2,4500,9000,22,Female
1003,2024-01-10,Office Chair,Furniture,Islamabad,1,12000,12000,35,Male
1004,2024-01-12,Python Book,Books,Karachi,3,800,2400,24,Male
1005,2024-01-15,Standing Desk,Furniture,Lahore,1,25000,25000,31,Female
1006,2024-01-18,Smartphone X,Electronics,Karachi,1,60000,60000,26,Male
1007,2024-01-20,Yoga Mat,Sports,Islamabad,2,1500,3000,29,Female
1008,2024-01-22,Gaming Mouse,Electronics,Lahore,3,3500,10500,20,Male
1009,2024-01-25,Notebook Set,Books,Karachi,5,350,1750,19,Female
1010,2024-01-28,Air Fryer,Kitchen,Islamabad,1,9000,9000,40,Female
1011,2024-02-02,Laptop Pro,Electronics,Lahore,1,85000,85000,33,Male
1012,2024-02-04,Wireless Earbuds,Electronics,Karachi,4,4500,18000,21,Female
1013,2024-02-06,Coffee Table,Furniture,Islamabad,1,8500,8500,38,Male
1014,2024-02-09,Data Science Book,Books,Lahore,2,1200,2400,27,Male
1015,2024-02-11,Treadmill,Sports,Karachi,1,45000,45000,34,Female
1016,2024-02-14,Smartphone X,Electronics,Islamabad,2,60000,120000,25,Male
1017,2024-02-16,Blender Pro,Kitchen,Lahore,1,5500,5500,42,Female
1018,2024-02-19,Gaming Keyboard,Electronics,Karachi,2,4000,8000,22,Male
1019,2024-02-21,Fiction Novel,Books,Islamabad,3,600,1800,30,Female
1020,2024-02-24,Dumbbells Set,Sports,Lahore,1,6000,6000,28,Male
1021,2024-03-01,Laptop Pro,Electronics,Islamabad,2,85000,170000,36,Male
1022,2024-03-03,Smart Watch,Electronics,Karachi,1,18000,18000,29,Female
1023,2024-03-07,Bookshelf,Furniture,Lahore,1,7500,7500,44,Male
1024,2024-03-10,AI Book,Books,Karachi,4,950,3800,23,Male
1025,2024-03-12,Cycling Bike,Sports,Islamabad,1,35000,35000,31,Female
1026,2024-03-15,Tablet Z,Electronics,Lahore,1,40000,40000,26,Male
1027,2024-03-18,Rice Cooker,Kitchen,Karachi,2,3500,7000,48,Female
1028,2024-03-20,Wireless Mouse,Electronics,Islamabad,5,1800,9000,20,Male
1029,2024-03-23,Self Help Book,Books,Lahore,2,700,1400,35,Female
1030,2024-03-26,Resistance Bands,Sports,Karachi,3,800,2400,27,Male
1031,2024-04-02,Smartphone X,Electronics,Lahore,3,60000,180000,24,Female
1032,2024-04-05,Monitor 27",Electronics,Islamabad,1,32000,32000,30,Male
1033,2024-04-08,Study Table,Furniture,Karachi,1,11000,11000,22,Male
1034,2024-04-10,LangChain Book,Books,Lahore,6,1100,6600,25,Male
1035,2024-04-13,Jump Rope,Sports,Islamabad,4,500,2000,19,Female
1036,2024-04-16,Laptop Pro,Electronics,Karachi,1,85000,85000,38,Male
1037,2024-04-19,Pressure Cooker,Kitchen,Lahore,1,4500,4500,50,Female
1038,2024-04-22,Mechanical Keyboard,Electronics,Karachi,2,6500,13000,23,Male
1039,2024-04-25,Biography Book,Books,Islamabad,2,850,1700,41,Female
1040,2024-04-28,Yoga Block Set,Sports,Lahore,3,1200,3600,33,Female
1041,2024-05-03,Smart Watch,Electronics,Islamabad,2,18000,36000,27,Male
1042,2024-05-06,Sofa Set,Furniture,Karachi,1,55000,55000,45,Male
1043,2024-05-09,Python Advanced,Books,Lahore,3,1400,4200,26,Male
1044,2024-05-12,Treadmill,Sports,Islamabad,1,45000,45000,39,Male
1045,2024-05-15,Air Fryer,Kitchen,Karachi,2,9000,18000,37,Female
1046,2024-05-18,Smartphone X,Electronics,Lahore,1,60000,60000,28,Male
1047,2024-05-21,Tablet Z,Electronics,Karachi,2,40000,80000,24,Female
1048,2024-05-24,Desk Lamp,Furniture,Islamabad,4,1200,4800,21,Male
1049,2024-05-27,Sports Novel,Books,Lahore,1,550,550,18,Male
1050,2024-05-30,Protein Powder,Sports,Karachi,2,3500,7000,25,Male
